Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2019],
Laranja da Terra,3203163,laranjense,JOSAF&Aacute; STORCH,458.370,10919,23.62,97.5,0.656,19.23,31473.64704,27743.18176,12709.11,;;;;;;;;;;;;;;;;;;;;;;
Linhares,3203205,linharense,GUERINO LUIZ ZANON,3496.263,179755,40.33,97.7,0.724,9.74,614845.47077,470722.34955,36577.10,;;;;;;;;;;;;;;;;;;;;;;;
Manten&oacute;polis,3203304,mantenopolitano,HERMINIO BENJAMIN HESPANHOL,321.418,15653,42.35,99.2,0.657,11.05,40661.19578,35896.62883,9789.94,;;;;;;;;;;;;;;;;;;;;;;
Marata&iacute;zes,3203320,marataizense,ROBERTINO BATISTA DA SILVA,130.268,39259,256.55,98,0.696,10.2,170678.85837,188935.98382,137000.71,;;;;;;;;;;;;;;;;;;;;;;
Marechal Floriano,3203346,florianense,JO&Atilde;O CARLOS LORENZONI,285.495,17141,49.98,98.5,0.710,14.85,55386.66876,51736.8177,23913.14,;;;;;;;;;;;;;;;;;;;;;;
Maril&acirc;ndia,3203353,marilandense,AUGUSTO ASTORI FERREIRA,327.642,13091,35.94,97.7,0.696,6.54,36748.19786,32324.30994,21893.49,;;;;;;;;;;;;;;;;;;;;;;
Mimoso do Sul,3203403,mimosense,PETER NOGUEIRA DA COSTA,869.439,26079,29.79,97.2,0.670,-,70206.98481,63382.902,17219.76,;;;;;;;;;;;;;;;;;;;;;;;
Montanha,3203502,montanhense,ANDR&Eacute; DOS SANTOS SAMPAIO,1099.060,18954,16.24,98.8,0.667,7.19,57156.90692,49343.84086,18125.28,;;;;;;;;;;;;;;;;;;;;;;
Mucurici,3203601,mucuriciense,ATANAEL PASSOS WAGMACKER,540.529,5468,10.47,98.9,0.666,13.16,27480.32255,23218.79664,13965.55,;;;;;;;;;;;;;;;;;;;;;;;
Muniz Freire,3203700,muniz-freirense,GESI ANT&Ocirc;NIO DA SILVA J&Uacute;NIOR,678.804,17176,27.08,96.7,0.645,16.67,55706.83661,51499.70748,15543.02,;;;;;;;;;;;;;;;;;;;;;
